Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		1118-14-5		creator	P												
Substance					Substance	Active	eService Production	creator		111-92-2		creator	D												
Substance					Substance	Active	eService Production	creator		1120-46-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		115-09-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		115216-77-8		creator	D												
Substance					Substance	Active	eService Production	creator		1153-06-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		115-86-6		creator	D												
Substance					Substance	Active	eService Production	creator		115-96-8		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		1162-06-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		1163-19-5		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		116565-73-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		116565-74-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		116867-32-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		116890-51-8		creator	P												
Substance					Substance	Active	eService Production	creator		117-81-7		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		117-82-8		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		117-84-0		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		1184-57-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		118-74-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		1191-18-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		1191-80-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		1192-89-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		119-90-4		creator	P												
Substance					Substance	Active	eService Production	creator		119-93-7		creator	P												
Substance					Substance	Active	eService Production	creator		12001-28-4		creator	P												SVHC
Substance					Substance	Active	eService Production	creator		12001-29-5		creator	P												SVHC
Substance					Substance	Active	eService Production	creator		12002-03-8		creator	D												
Substance					Substance	Active	eService Production	creator		12003-78-0		creator	D												
Substance					Substance	Active	eService Production	creator		12004-35-2		creator	D												
Substance					Substance	Active	eService Production	creator		12005-75-3		creator	D												
Substance					Substance	Active	eService Production	creator		12005-81-1		creator	D												
Substance					Substance	Active	eService Production	creator		12005-88-8		creator	D												
Substance					Substance	Active	eService Production	creator		12005-89-9		creator	D												
Substance					Substance	Active	eService Production	creator		12005-92-4		creator	D												
Substance					Substance	Active	eService Production	creator		12005-94-6		creator	D												
Substance					Substance	Active	eService Production	creator		12005-95-7		creator	D												
Substance					Substance	Active	eService Production	creator		12005-96-8		creator	D												
Substance					Substance	Active	eService Production	creator		12006-08-5		creator	D												
Substance					Substance	Active	eService Production	creator		12006-09-6		creator	D												
Substance					Substance	Active	eService Production	creator		12006-10-9		creator	D												
Substance					Substance	Active	eService Production	creator		12006-12-1		creator	D												
Substance					Substance	Active	eService Production	creator		12006-15-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		12006-21-2		creator	D												
Substance					Substance	Active	eService Production	creator		12006-40-5		creator	D												
Substance					Substance	Active	eService Production	creator		12006-78-9		creator	D												
Substance					Substance	Active	eService Production	creator		12007-00-0		creator	D												
Substance					Substance	Active	eService Production	creator		12007-01-1		creator	D												
Substance					Substance	Active	eService Production	creator		12007-02-2		creator	D												
Substance					Substance	Active	eService Production	creator		120-12-7		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		12013-10-4		creator	D												
Substance					Substance	Active	eService Production	creator		12013-69-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		12014-14-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		12014-28-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		12014-29-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		12016-69-2		creator	D												
Substance					Substance	Active	eService Production	creator		12016-80-7		creator	D												
Substance					Substance	Active	eService Production	creator		12017-01-5		creator	D												
Substance					Substance	Active	eService Production	creator		12017-12-8		creator	D												
