Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-900000000094		SUB-900000000094		Substance	Active	eService Production	creator		133-07-3	Folpet; N-(trichloromethylthio)phthalimide		D												
Substance	SUB-900000000095		SUB-900000000095		Substance	Active	eService Production	creator		1330-78-5	Tris(methylphenyl) phosphate		D												
Substance	SUB-900000000096		SUB-900000000096		Substance	Active	eService Production	creator		133779-11-0	Amines, N-C16-18-alkyl (evennumbered) propane-1,3-diamine		D												
Substance	SUB-900000000097		SUB-900000000097		Substance	Active	eService Production	creator		1338-02-9	Naphthenic acids, copper salts		D/P												
Substance	SUB-900000000098		SUB-900000000098		Substance	Active	eService Production	creator		134237-50-6	rel-(1R, 2R, 5S, 6R, 9R, 10S)-1,2,5,6,9,10-Hexabromocyclododecane		D/P												SVHC
Substance	SUB-900000000099		SUB-900000000099		Substance	Active	eService Production	creator		134237-51-7	rel-(1R, 2S, 5R, 6R, 9R, 10S)-1,2,5,6,9,10-Hexabromocyclododecane		D/P												SVHC
Substance	SUB-900000000100		SUB-900000000100		Substance	Active	eService Production	creator		13463-41-7	Pyrithione zinc; (T-4)-Bis[2-(thioxo-kappaS)-pyridin-1(2H)-olato-kappaO]zinc(II)		D												
Substance	SUB-900000000101		SUB-900000000101		Substance	Active	eService Production	creator		13478-92-7	C.I. Direct Violet 13, C.I.2480		D/P												
Substance	SUB-900000000102		SUB-900000000102		Substance	Active	eService Production	creator		13560-89-9	1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1*6,9*.0*2,13*.0*5,10*]octadeca-7,15-diene 		D												
Substance	SUB-900000000103		SUB-900000000103		Substance	Active	eService Production	creator		135821-03-3	1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1*6,9*.0*2,13*.0*5,10*]octadeca-7,15-diene 		D												
Substance	SUB-900000000104		SUB-900000000104		Substance	Active	eService Production	creator		135821-74-8 	1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1*6,9*.0*2,13*.0*5,10*]octadeca-7,15-diene 		D												
Substance	SUB-900000000105		SUB-900000000105		Substance	Active	eService Production	creator		13590-97-1	Dodecylguanidine monohydrochloride		D/P												
Substance	SUB-900000000106		SUB-900000000106		Substance	Active	eService Production	creator		13707-65-8	Potassium 2-biphenylate		D/P												
Substance	SUB-900000000107		SUB-900000000107		Substance	Active	eService Production	creator		137-41-7	Metam potassium; Potassium methyldithiocarbamate		D/P												
Substance	SUB-900000000108		SUB-900000000108		Substance	Active	eService Production	creator		137-42-8	Metam-sodium; Metam; Sodium ethyldithiocarbamate		D												
Substance	SUB-900000000109		SUB-900000000109		Substance	Active	eService Production	creator		138257-17-7	(1R, 2R, 5R, 6S, 9S, 10S)-1,2,5,6,9,10-Hexabromocyclododecane		D/P												
Substance	SUB-900000000110		SUB-900000000110		Substance	Active	eService Production	creator		138257-18-8	(1R, 2R, 5R, 6S, 9R, 10S)-1,2,5,6,9,10-Hexabromocyclododecane		D/P												
Substance	SUB-900000000111		SUB-900000000111		Substance	Active	eService Production	creator		138257-19-9	(1R, 2S, 5S, 6R, 9S, 10S)-1,2,5,6,9,10-Hexabromocyclododecane		D/P												
